query_key,query,case_id,group_id,gold_chunk,gold_standard,gold_locator,evidence_type,rewrite_status,source_ranks,fusion_rank,rerank_rank,outcome
41d567285b030f8e2427028a81fd58b57baf38eaa22833156fd380f7592caa90,绕组对地及绕组间直流绝缘电阻测量（例行试验） 高压对低压及地绝缘电阻(MΩ)：≥1000,transformer-01-b8b08b984c56:3ddcd4128b3da398d3313fbb,required_1,bd2b9dba96e23fd4662a66251dd78ad91a18867b552ded696801c1578682a03a,GB/T 6451-2023,4.3,section,fallback,"{""lexical:production:section"": 13}",45,14,reranked_9_30
a6ca260fd4fcc9d9382cad6c77e2d3d36ff6d903bd02f60c1cbe694b911d9b34,绕组电阻测量（例行试验） 高压（线）电阻三相不平衡率最大值(%)：≤2,transformer-01-b8b08b984c56:03bd1ed1609a9769ea1e6108,required_1,fae6b0813b2faa2aa03140ef6f8aeb0f8a68fcd824a7288ac4ec7d4a911642b8,JB/T 501-2021,6,table,fallback,"{""dense:production:table"": 1, ""lexical:production:table"": 2}",2,12,reranked_9_30
35c466a2f1a59d989a1a8bf5554551a975e7f493ce2562ea4884c74166034d94,绕组电阻测量（例行试验） 低压（线）电阻三相不平衡率 (%)：≤2,transformer-01-b8b08b984c56:ccd41b720608eb7d0afae51f,required_1,fae6b0813b2faa2aa03140ef6f8aeb0f8a68fcd824a7288ac4ec7d4a911642b8,JB/T 501-2021,6,table,rewritten,"{""dense:keyword:table"": 1, ""dense:production:table"": 1, ""dense:semantic:table"": 1, ""lexical:keyword:table"": 1, ""lexical:production:table"": 1}",2,15,reranked_9_30
6db16a50cd7bec0a732df2676135e1f9ad0cf1aa6015a5fea38f4a1acf0b997a,绕组电阻测量（例行试验） 低压（相）电阻三相不平衡率 (%)：≤4,transformer-01-b8b08b984c56:cc52900bed5a10cc49707270,required_1,fae6b0813b2faa2aa03140ef6f8aeb0f8a68fcd824a7288ac4ec7d4a911642b8,JB/T 501-2021,6,table,fallback,"{""dense:production:table"": 1, ""lexical:production:table"": 1}",2,5,top8
b6492a784d1522ab805e9a448feace0cc3721cb4e8c95ba489c44f2dbf80e289,电压比测量和联结组标号检定（例行试验） 主分接电压比偏差：规定电压比的±0.5%与实际阻抗电压百分数的±1/10 中较低者,transformer-01-b8b08b984c56:aac17c3abe641cf4aeec05e1,required_1,5d634879be135111a1f8c80772ed71e4a5c5db580a651c47130764f8ccf15b4c,GB/T 1094.1-2013,1,table,fallback,"{""dense:production:table"": 1, ""lexical:production:table"": 3}",1,4,top8
113dac1b515e513e4c756257853afd5076a35e51508b7b06caa0cd756f93bfdb,电压比测量和联结组标号检定（例行试验） 其他分接电压比偏差：变压器阻抗电压值(%)的1/10以内，且允许偏差应为±1%,transformer-01-b8b08b984c56:7447b3e0c009f27ced8f4116,required_1,5d634879be135111a1f8c80772ed71e4a5c5db580a651c47130764f8ccf15b4c,GB/T 1094.1-2013,1,table,fallback,"{""dense:production:table"": 1, ""lexical:production:table"": 18}",9,6,top8
e2543bf24aea239c3c9fbf7ce640b889b9446784c2e1b07e7e575fd678171bf2,电压比测量和联结组标号检定（例行试验） 联结组标号：Dyn11,transformer-01-b8b08b984c56:3d6e2a81a974983a9400f413,required_1,e3deef2dc2419f9d368b0ae5076c2d105a070a626006c0d71b76ca33ea90c5f1,GB/T 6451-2023,3,table,fallback,{},,,not_recalled
e2543bf24aea239c3c9fbf7ce640b889b9446784c2e1b07e7e575fd678171bf2,电压比测量和联结组标号检定（例行试验） 联结组标号：Dyn11,transformer-01-b8b08b984c56:3d6e2a81a974983a9400f413,required_1,7e5ae919e9327fd3bbbcce9b199107bc357cf9c9a16681b2692748c47b428587,GB/T 6451-2023,7,table,fallback,{},,,not_recalled
e2543bf24aea239c3c9fbf7ce640b889b9446784c2e1b07e7e575fd678171bf2,电压比测量和联结组标号检定（例行试验） 联结组标号：Dyn11,transformer-01-b8b08b984c56:3d6e2a81a974983a9400f413,required_1,6d16c01580146b5a6b99d36a796f14855dd26bbeee3645d33f0a69f3d70c5b2d,GB/T 6451-2023,1,table,fallback,"{""lexical:production:table"": 24}",78,14,reranked_9_30
e2543bf24aea239c3c9fbf7ce640b889b9446784c2e1b07e7e575fd678171bf2,电压比测量和联结组标号检定（例行试验） 联结组标号：Dyn11,transformer-01-b8b08b984c56:3d6e2a81a974983a9400f413,required_1,80bd004f7f2559178fec92d171dbde9784712d90c4a10db6536de7e52980a90a,GB/T 6451-2023,5,table,fallback,"{""lexical:production:table"": 25}",80,16,reranked_9_30
